date,flokkur,n,fyrirtaeki
2021-09-25,Samfylkingin,19773.27,Kosning
2021-09-25,Sjálfstæðisflokkurinn,48734.119999999995,Kosning
2021-09-25,Miðflokkurinn,10785.42,Kosning
2021-09-25,Framsóknarflokkurinn,34553.29,Kosning
2021-09-25,Vinstri Græn,25165.98,Kosning
2021-09-25,Flokkur Fólksins,17576.239999999998,Kosning
2021-09-25,Viðreisn,16577.59,Kosning
2021-09-25,Píratar,17176.78,Kosning
2021-09-25,Annað,9387.31000000003,Kosning
