date,fyrirtaeki,flokkur,n
2024-10-01,Maskína,Samfylkingin,404.016
2024-10-01,Maskína,Miðflokkurinn,301.24
2024-10-01,Maskína,Viðreisn,244.53600000000003
2024-10-01,Maskína,Sjálfstæðisflokkurinn,242.764
2024-10-01,Maskína,Framsóknarflokkurinn,124.04
2024-10-01,Maskína,Píratar,120.49600000000001
2024-10-01,Maskína,Flokkur Fólksins,116.95200000000001
2024-10-01,Maskína,Sósíalistaflokkurinn,93.916
2024-10-01,Maskína,Vinstri Græn,79.74
2024-10-01,Maskína,Lýðræðisflokkurinn,42.528
