date,party,support,type
2023-12-01,D,0.18100000000000002,prop
2023-12-01,B,3540,count
2023-12-01,B,0.094,prop
2023-12-01,C,3540,count
2023-12-01,C,0.08800000000000001,prop
2023-12-01,F,3540,count
2023-12-01,F,0.068,prop
2023-12-01,J,3540,count
2023-12-01,J,0.036000000000000004,prop
2023-12-01,M,3540,count
2023-12-01,M,0.09699999999999999,prop
2023-12-01,P,3540,count
2023-12-01,P,0.091,prop
2023-12-01,S,3540,count
2023-12-01,S,0.284,prop
2023-12-01,V,3540,count
2023-12-01,V,0.06,prop
2023-12-01,others,3540,count
2023-12-01,others,0,prop
2023-11-01,D,3460,count
2023-11-01,D,0.198,prop
2023-11-01,B,3460,count
2023-11-01,B,0.086,prop
2023-11-01,C,3460,count
2023-11-01,C,0.079,prop
2023-11-01,F,3460,count
2023-11-01,F,0.069,prop
2023-11-01,J,3460,count
2023-11-01,J,0.042,prop
2023-11-01,M,3460,count
2023-11-01,M,0.094,prop
2023-11-01,P,3460,count
2023-11-01,P,0.09300000000000001,prop
2023-11-01,S,3460,count
2023-11-01,S,0.281,prop
2023-11-01,V,3460,count
2023-11-01,V,0.051,prop
2023-11-01,others,3460,count
2023-11-01,others,0.008,prop
2023-10-01,D,3920,count
2023-10-01,D,0.205,prop
2023-10-01,B,3920,count
2023-10-01,B,0.07400000000000001,prop
2023-10-01,C,3920,count
2023-10-01,C,0.075,prop
2023-10-01,F,3920,count
2023-10-01,F,0.065,prop
2023-10-01,J,3920,count
2023-10-01,J,0.040999999999999995,prop
2023-10-01,M,3920,count
2023-10-01,M,0.086,prop
2023-10-01,P,3920,count
2023-10-01,P,0.102,prop
2023-10-01,S,3920,count
2023-10-01,S,0.29100000000000004,prop
2023-10-01,V,3920,count
2023-10-01,V,0.06,prop
2023-10-01,others,3920,count
2023-10-01,others,0,prop
2023-09-01,D,4020,count
2023-09-01,D,0.204,prop
2023-09-01,B,4020,count
2023-09-01,B,0.081,prop
2023-09-01,C,4020,count
2023-09-01,C,0.079,prop
2023-09-01,F,4020,count
2023-09-01,F,0.057,prop
2023-09-01,J,4020,count
2023-09-01,J,0.039,prop
2023-09-01,M,4020,count
2023-09-01,M,0.086,prop
2023-09-01,P,4020,count
2023-09-01,P,0.096,prop
2023-09-01,S,4020,count
2023-09-01,S,0.301,prop
2023-09-01,V,4020,count
2023-09-01,V,0.057,prop
2023-09-01,others,4020,count
2023-09-01,others,0,prop
2023-08-01,D,3670,count
2023-08-01,D,0.21100000000000002,prop
2023-08-01,B,3670,count
2023-08-01,B,0.075,prop
2023-08-01,C,3670,count
2023-08-01,C,0.07200000000000001,prop
2023-08-01,F,3670,count
2023-08-01,F,0.063,prop
2023-08-01,J,3670,count
2023-08-01,J,0.044000000000000004,prop
2023-08-01,M,3670,count
2023-08-01,M,0.087,prop
2023-08-01,P,3670,count
2023-08-01,P,0.10300000000000001,prop
2023-08-01,S,3670,count
2023-08-01,S,0.285,prop
2023-08-01,V,3670,count
2023-08-01,V,0.059000000000000004,prop
2023-08-01,others,3670,count
2023-08-01,others,0,prop
2023-07-01,D,3640,count
2023-07-01,D,0.21,prop
2023-07-01,B,3640,count
2023-07-01,B,0.08900000000000001,prop
2023-07-01,C,3640,count
2023-07-01,C,0.07,prop
2023-07-01,F,3640,count
2023-07-01,F,0.057,prop
2023-07-01,J,3640,count
2023-07-01,J,0.036000000000000004,prop
2023-07-01,M,3640,count
2023-07-01,M,0.085,prop
2023-07-01,P,3640,count
2023-07-01,P,0.105,prop
2023-07-01,S,3640,count
2023-07-01,S,0.28600000000000003,prop
2023-07-01,V,3640,count
2023-07-01,V,0.061,prop
2023-07-01,others,3640,count
2023-07-01,others,0.001,prop
2023-06-01,D,4100,count
2023-06-01,D,0.20800000000000002,prop
2023-06-01,B,4100,count
2023-06-01,B,0.087,prop
2023-06-01,C,4100,count
2023-06-01,C,0.081,prop
2023-06-01,F,4100,count
2023-06-01,F,0.057,prop
2023-06-01,J,4100,count
2023-06-01,J,0.046,prop
2023-06-01,M,4100,count
2023-06-01,M,0.078,prop
